,day,seq_num,exposure_id,exposure_time,time,Flux
2022050500290,20220505,290,2022050500290,6.0,2022-05-05T21:10:30.745000,93916.90625
2022050500289,20220505,289,2022050500289,6.0,2022-05-05T21:10:22.010989,93915.421875
2022050500288,20220505,288,2022050500288,5.7,2022-05-05T21:10:13.430992,89182.71875
2022050500287,20220505,287,2022050500287,5.7,2022-05-05T21:10:04.884991,89178.546875
2022050500286,20220505,286,2022050500286,5.399,2022-05-05T21:09:56.639009,84433.390625
2022050500285,20220505,285,2022050500285,5.399,2022-05-05T21:09:48.413988,84433.2109375
2022050500284,20220505,284,2022050500284,5.1,2022-05-05T21:09:40.575004,79730.28125
2022050500283,20220505,283,2022050500283,5.1,2022-05-05T21:09:32.553000,79729.7265625
2022050500282,20220505,282,2022050500282,4.8,2022-05-05T21:09:24.892007,75028.3046875
2022050500281,20220505,281,2022050500281,4.8,2022-05-05T21:09:17.210013,75027.2421875
2022050500280,20220505,280,2022050500280,4.5,2022-05-05T21:09:09.968009,70341.828125
2022050500279,20220505,279,2022050500279,4.5,2022-05-05T21:09:02.735016,70340.859375
2022050500278,20220505,278,2022050500278,4.2,2022-05-05T21:08:55.783012,65668.375
2022050500277,20220505,277,2022050500277,4.2,2022-05-05T21:08:48.839014,65667.6015625
2022050500276,20220505,276,2022050500276,3.9,2022-05-05T21:08:42.165987,60990.44140625
2022050500275,20220505,275,2022050500275,3.9,2022-05-05T21:08:35.427017,60992.79296875
2022050500274,20220505,274,2022050500274,3.599,2022-05-05T21:08:28.773986,56298.83203125
2022050500273,20220505,273,2022050500273,3.599,2022-05-05T21:08:22.340989,56300.26171875
2022050500272,20220505,272,2022050500272,3.3,2022-05-05T21:08:16.007006,51627.03515625
2022050500271,20220505,271,2022050500271,3.3,2022-05-05T21:08:09.821000,51627.87890625
2022050500270,20220505,270,2022050500270,3.0,2022-05-05T21:08:03.972993,46935.8671875
2022050500269,20220505,269,2022050500269,3.0,2022-05-05T21:07:58.130981,46935.24609375
2022050500268,20220505,268,2022050500268,2.699,2022-05-05T21:07:52.689007,42219.890625
2022050500267,20220505,267,2022050500267,2.699,2022-05-05T21:07:47.134984,42219.32421875
2022050500266,20220505,266,2022050500266,2.4,2022-05-05T21:07:41.874984,37529.63671875
2022050500265,20220505,265,2022050500265,2.4,2022-05-05T21:07:36.501004,37522.6015625
2022050500264,20220505,264,2022050500264,2.1,2022-05-05T21:07:31.662004,32823.8984375
2022050500263,20220505,263,2022050500263,2.1,2022-05-05T21:07:26.790013,32826.375
2022050500262,20220505,262,2022050500262,1.799,2022-05-05T21:07:22.138982,28108.693359375
2022050500261,20220505,261,2022050500261,1.799,2022-05-05T21:07:15.309005,28108.75
2022050500260,20220505,260,2022050500260,1.5,2022-05-05T21:07:10.960004,23427.79296875
2022050500259,20220505,259,2022050500259,1.5,2022-05-05T21:07:04.460985,23427.33203125
2022050500258,20220505,258,2022050500258,1.2,2022-05-05T21:07:00.497981,18730.802734375
2022050500257,20220505,257,2022050500257,1.2,2022-05-05T21:06:54.216019,18731.259765625
2022050500256,20220505,256,2022050500256,0.899,2022-05-05T21:06:50.432012,14024.828125
2022050500255,20220505,255,2022050500255,0.899,2022-05-05T21:06:44.629992,14026.5390625
2022050500254,20220505,254,2022050500254,0.6,2022-05-05T21:06:41.184990,9356.2236328125
2022050500253,20220505,253,2022050500253,0.6,2022-05-05T21:06:35.608999,9355.787109375
2022050500252,20220505,252,2022050500252,0.3,2022-05-05T21:06:32.555988,4676.62109375
2022050500251,20220505,251,2022050500251,0.3,2022-05-05T21:06:27.287982,4676.3818359375
2022050500250,20220505,250,2022050500250,6.0,2022-05-05T21:04:03.015982,8.527524948120117
2022050500249,20220505,249,2022050500249,6.0,2022-05-05T21:03:53.958015,8.537374496459961
2022050500248,20220505,248,2022050500248,5.7,2022-05-05T21:03:45.407991,8.104022979736328
2022050500247,20220505,247,2022050500247,5.7,2022-05-05T21:03:36.867019,8.103446960449219
2022050500246,20220505,246,2022050500246,5.399,2022-05-05T21:03:28.415003,7.711953163146973
2022050500245,20220505,245,2022050500245,5.399,2022-05-05T21:03:20.067995,7.621849536895752
2022050500244,20220505,244,2022050500244,5.1,2022-05-05T21:03:12.092983,7.0535149574279785
2022050500243,20220505,243,2022050500243,5.1,2022-05-05T21:03:04.160015,6.999307632446289
2022050500242,20220505,242,2022050500242,4.8,2022-05-05T21:02:56.622015,6.585161209106445
2022050500241,20220505,241,2022050500241,4.8,2022-05-05T21:02:48.974018,6.640685081481934
2022050500240,20220505,240,2022050500240,4.5,2022-05-05T21:02:41.627005,6.255618095397949
2022050500239,20220505,239,2022050500239,4.5,2022-05-05T21:02:34.285987,6.3515777587890625
2022050500238,20220505,238,2022050500238,4.2,2022-05-05T21:02:27.338006,6.037629127502441
2022050500237,20220505,237,2022050500237,4.2,2022-05-05T21:02:20.396985,6.13187313079834
2022050500236,20220505,236,2022050500236,3.9,2022-05-05T21:02:13.699013,5.711427688598633
2022050500235,20220505,235,2022050500235,3.9,2022-05-05T21:02:07.018985,5.7165207862854
2022050500234,20220505,234,2022050500234,3.599,2022-05-05T21:02:00.632015,5.258658409118652
2022050500233,20220505,233,2022050500233,3.599,2022-05-05T21:01:54.206019,5.277892112731934
2022050500232,20220505,232,2022050500232,3.3,2022-05-05T21:01:48.051999,4.85297966003418
2022050500231,20220505,231,2022050500231,3.3,2022-05-05T21:01:41.911014,4.834816932678223
2022050500230,20220505,230,2022050500230,3.0,2022-05-05T21:01:36.110000,4.379190444946289
2022050500229,20220505,229,2022050500229,3.0,2022-05-05T21:01:30.369013,4.393569469451904
2022050500228,20220505,228,2022050500228,2.699,2022-05-05T21:01:24.825008,3.981057643890381
2022050500227,20220505,227,2022050500227,2.699,2022-05-05T21:01:19.249017,3.960294723510742
2022050500226,20220505,226,2022050500226,2.4,2022-05-05T21:01:14.063006,3.5321829319000244
2022050500225,20220505,225,2022050500225,2.4,2022-05-05T21:01:08.824008,3.5445635318756104
2022050500224,20220505,224,2022050500224,2.1,2022-05-05T21:01:03.939987,3.100493907928467
2022050500223,20220505,223,2022050500223,2.1,2022-05-05T21:00:58.963993,3.130045175552368
2022050500222,20220505,222,2022050500222,1.799,2022-05-05T21:00:54.294012,2.6176071166992188
2022050500221,20220505,221,2022050500221,1.799,2022-05-05T21:00:47.405013,2.6717100143432617
2022050500220,20220505,220,2022050500220,1.5,2022-05-05T21:00:43.057984,2.1965746879577637
2022050500219,20220505,219,2022050500219,1.5,2022-05-05T21:00:36.549993,2.224656105041504
2022050500218,20220505,218,2022050500218,1.2,2022-05-05T21:00:32.601996,1.738276720046997
2022050500217,20220505,217,2022050500217,1.2,2022-05-05T21:00:26.402995,1.8042985200881958
2022050500216,20220505,216,2022050500216,0.899,2022-05-05T21:00:22.755016,1.295223593711853
2022050500215,20220505,215,2022050500215,0.899,2022-05-05T21:00:16.789006,1.3639130592346191
2022050500214,20220505,214,2022050500214,0.6,2022-05-05T21:00:13.438994,0.8824563026428223
2022050500213,20220505,213,2022050500213,0.6,2022-05-05T21:00:07.871009,0.929523766040802
2022050500212,20220505,212,2022050500212,0.3,2022-05-05T21:00:04.605004,0.4321572780609131
2022050500211,20220505,211,2022050500211,0.3,2022-05-05T20:59:59.314991,0.44612109661102295
2022050500210,20220505,210,2022050500210,3.0,2022-05-05T20:58:21.672994,46952.0703125
2022050500209,20220505,209,2022050500209,3.0,2022-05-05T20:58:16.122994,46954.65625
2022050500208,20220505,208,2022050500208,3.0,2022-05-05T20:58:10.570982,46952.4140625
2022050500207,20220505,207,2022050500207,3.0,2022-05-05T20:58:05.027017,46951.40625
2022050500206,20220505,206,2022050500206,3.0,2022-05-05T20:57:59.468004,46949.58984375
2022050500205,20220505,205,2022050500205,3.0,2022-05-05T20:57:53.914987,46952.5546875
2022050500204,20220505,204,2022050500204,3.0,2022-05-05T20:57:48.365993,46953.56640625
2022050500203,20220505,203,2022050500203,3.0,2022-05-05T20:57:42.822993,46954.44921875
2022050500202,20220505,202,2022050500202,3.0,2022-05-05T20:57:37.265992,46954.4609375
2022050500201,20220505,201,2022050500201,3.0,2022-05-05T20:57:31.714987,46947.328125
2022050500200,20220505,200,2022050500200,3.0,2022-05-05T20:56:11.123993,46957.8984375
2022050500199,20220505,199,2022050500199,3.0,2022-05-05T20:56:05.571016,46959.7265625
2022050500198,20220505,198,2022050500198,3.0,2022-05-05T20:56:00.013010,46956.8515625
2022050500197,20220505,197,2022050500197,3.0,2022-05-05T20:55:54.464015,46958.42578125
2022050500196,20220505,196,2022050500196,3.0,2022-05-05T20:55:48.920010,46957.9140625
2022050500195,20220505,195,2022050500195,3.0,2022-05-05T20:55:43.372987,46958.1640625
2022050500194,20220505,194,2022050500194,3.0,2022-05-05T20:55:37.820010,46957.890625
2022050500193,20220505,193,2022050500193,3.0,2022-05-05T20:55:32.265987,46957.3359375
2022050500192,20220505,192,2022050500192,3.0,2022-05-05T20:55:26.721981,46955.74609375
2022050500191,20220505,191,2022050500191,3.0,2022-05-05T20:55:21.178016,46951.87109375
2022050500190,20220505,190,2022050500190,3.0,2022-05-05T20:48:53.694018,46988.11328125
2022050500189,20220505,189,2022050500189,3.0,2022-05-05T20:48:48.130017,46987.19140625
2022050500188,20220505,188,2022050500188,2.0,2022-05-05T20:48:43.573011,31301.376953125
2022050500187,20220505,187,2022050500187,2.0,2022-05-05T20:48:39.022000,31294.83984375
2022050500151,20220505,151,2022050500151,6.0,2022-05-05T20:23:53.848000,93908.0703125
2022050500150,20220505,150,2022050500150,6.0,2022-05-05T20:23:45.286992,93921.046875
2022050500149,20220505,149,2022050500149,5.5,2022-05-05T20:23:37.229985,86025.21875
2022050500148,20220505,148,2022050500148,5.5,2022-05-05T20:23:29.178007,86014.28125
2022050500147,20220505,147,2022050500147,5.0,2022-05-05T20:23:21.617999,78153.3359375
2022050500146,20220505,146,2022050500146,5.0,2022-05-05T20:23:14.061010,78153.7421875
2022050500145,20220505,145,2022050500145,4.0,2022-05-05T20:23:07.495002,62546.70703125
2022050500144,20220505,144,2022050500144,4.0,2022-05-05T20:23:00.935995,62546.546875
2022050500143,20220505,143,2022050500143,3.0,2022-05-05T20:22:55.374006,46929.7578125
2022050500142,20220505,142,2022050500142,3.0,2022-05-05T20:22:49.812982,46925.453125
2022050500141,20220505,141,2022050500141,2.5,2022-05-05T20:22:44.758010,39097.55078125
2022050500140,20220505,140,2022050500140,2.5,2022-05-05T20:22:39.706016,39095.953125
2022050500139,20220505,139,2022050500139,2.0,2022-05-05T20:22:35.146998,31264.5234375
2022050500138,20220505,138,2022050500138,2.0,2022-05-05T20:22:30.587980,31261.38671875
2022050500137,20220505,137,2022050500137,1.0,2022-05-05T20:22:26.792990,15606.830078125
2022050500136,20220505,136,2022050500136,1.0,2022-05-05T20:22:23.233001,15606.193359375
2022050500135,20220505,135,2022050500135,0.5,2022-05-05T20:22:20.176007,7796.404296875
2022050500134,20220505,134,2022050500134,0.5,2022-05-05T20:22:17.125008,7794.8525390625
2022050500123,20220505,123,2022050500123,3.0,2022-05-05T20:08:50.501984,46894.73828125
2022050500122,20220505,122,2022050500122,3.0,2022-05-05T20:08:44.944983,46893.875
2022050500121,20220505,121,2022050500121,1.5,2022-05-05T20:08:40.885983,23411.8984375
2022050500120,20220505,120,2022050500120,1.5,2022-05-05T20:08:36.819982,23409.484375
2022050400213,20220504,213,2022050400213,3.0,2022-05-04T20:53:23.701003,47365.07421875
2022050400212,20220504,212,2022050400212,3.0,2022-05-04T20:53:18.147985,47367.96484375
2022050400211,20220504,211,2022050400211,3.0,2022-05-04T20:53:12.595008,47369.5703125
2022050400210,20220504,210,2022050400210,3.0,2022-05-04T20:53:07.045008,47371.0234375
2022050400209,20220504,209,2022050400209,3.0,2022-05-04T20:53:01.497020,47374.82421875
2022050400208,20220504,208,2022050400208,3.0,2022-05-04T20:52:55.939013,47375.78125
2022050400207,20220504,207,2022050400207,3.0,2022-05-04T20:52:50.384990,47379.72265625
2022050400206,20220504,206,2022050400206,3.0,2022-05-04T20:52:44.837001,47382.4453125
2022050400205,20220504,205,2022050400205,3.0,2022-05-04T20:52:39.290019,47384.39453125
2022050400204,20220504,204,2022050400204,3.0,2022-05-04T20:52:33.738007,47383.1015625
2022050400203,20220504,203,2022050400203,3.0,2022-05-04T20:48:10.778017,47582.5234375
2022050400202,20220504,202,2022050400202,3.0,2022-05-04T20:48:05.222988,47587.4375
2022050400201,20220504,201,2022050400201,3.0,2022-05-04T20:47:59.677011,47592.8359375
2022050400200,20220504,200,2022050400200,3.0,2022-05-04T20:47:54.128017,47602.41796875
2022050400199,20220504,199,2022050400199,3.0,2022-05-04T20:47:48.584011,47607.6953125
2022050400198,20220504,198,2022050400198,3.0,2022-05-04T20:47:43.030994,47616.0859375
2022050400197,20220504,197,2022050400197,3.0,2022-05-04T20:47:37.482000,47624.05078125
2022050400196,20220504,196,2022050400196,3.0,2022-05-04T20:47:31.928982,47631.03515625
2022050400195,20220504,195,2022050400195,3.0,2022-05-04T20:47:26.379988,47638.40234375
2022050400194,20220504,194,2022050400194,3.0,2022-05-04T20:47:20.828016,47643.6171875
2022050400193,20220504,193,2022050400193,3.0,2022-05-04T20:36:55.668020,54659.6484375
2022050400192,20220504,192,2022050400192,3.0,2022-05-04T20:36:50.113996,54662.5703125
2022050400191,20220504,191,2022050400191,3.0,2022-05-04T20:36:44.570997,54662.546875
2022050400190,20220504,190,2022050400190,3.0,2022-05-04T20:36:39.011984,54667.33984375
2022050400189,20220504,189,2022050400189,3.0,2022-05-04T20:36:33.459007,54661.41015625
2022050400188,20220504,188,2022050400188,3.0,2022-05-04T20:36:27.904018,54664.921875
2022050400187,20220504,187,2022050400187,3.0,2022-05-04T20:36:22.354984,54666.2109375
2022050400186,20220504,186,2022050400186,3.0,2022-05-04T20:36:16.808001,54669.09765625
2022050400185,20220504,185,2022050400185,3.0,2022-05-04T20:36:11.258001,54665.6640625
2022050400184,20220504,184,2022050400184,3.0,2022-05-04T20:36:05.703012,54668.69140625
2022050400183,20220504,183,2022050400183,3.0,2022-05-04T20:32:37.068980,54745.19921875
2022050400182,20220504,182,2022050400182,3.0,2022-05-04T20:32:31.504013,54749.5390625
2022050400181,20220504,181,2022050400181,3.0,2022-05-04T20:32:25.956990,54751.40625
2022050400180,20220504,180,2022050400180,3.0,2022-05-04T20:32:20.404013,54754.2265625
2022050400179,20220504,179,2022050400179,3.0,2022-05-04T20:32:14.852001,54759.6875
2022050400178,20220504,178,2022050400178,3.0,2022-05-04T20:32:09.297012,54762.69921875
2022050400177,20220504,177,2022050400177,3.0,2022-05-04T20:32:03.746006,54764.6484375
2022050400176,20220504,176,2022050400176,3.0,2022-05-04T20:31:58.191017,54768.55078125
2022050400175,20220504,175,2022050400175,3.0,2022-05-04T20:31:52.635988,54774.57421875
2022050400174,20220504,174,2022050400174,3.0,2022-05-04T20:31:47.090011,54777.20703125
2022050400173,20220504,173,2022050400173,4.0,2022-05-04T20:24:13.398004,59398.6953125
2022050400172,20220504,172,2022050400172,4.0,2022-05-04T20:24:06.497016,59399.21484375
2022050400171,20220504,171,2022050400171,3.8,2022-05-04T20:23:59.740987,56438.20703125
2022050400170,20220504,170,2022050400170,3.8,2022-05-04T20:23:53.111009,56438.890625
2022050400169,20220504,169,2022050400169,3.6,2022-05-04T20:23:46.633997,53472.9375
2022050400168,20220504,168,2022050400168,3.6,2022-05-04T20:23:40.190017,53474.9921875
2022050400167,20220504,167,2022050400167,3.4,2022-05-04T20:23:33.860983,50506.328125
2022050400166,20220504,166,2022050400166,3.4,2022-05-04T20:23:27.674012,50506.8359375
2022050400165,20220504,165,2022050400165,3.2,2022-05-04T20:23:21.623994,47535.0859375
2022050400164,20220504,164,2022050400164,3.2,2022-05-04T20:23:15.664018,47535.9921875
2022050400163,20220504,163,2022050400163,3.0,2022-05-04T20:23:09.823012,44562.59375
2022050400162,20220504,162,2022050400162,3.0,2022-05-04T20:23:03.978988,44563.015625
2022050400161,20220504,161,2022050400161,2.8,2022-05-04T20:22:58.338987,41588.2109375
2022050400160,20220504,160,2022050400160,2.8,2022-05-04T20:22:52.697014,41586.984375
2022050400159,20220504,159,2022050400159,2.6,2022-05-04T20:22:47.182016,38612.16796875
2022050400158,20220504,158,2022050400158,2.6,2022-05-04T20:22:41.839981,38612.109375
2022050400157,20220504,157,2022050400157,2.4,2022-05-04T20:22:36.510016,35637.16015625
2022050400156,20220504,156,2022050400156,2.4,2022-05-04T20:22:31.366009,35637.875
2022050400155,20220504,155,2022050400155,2.2,2022-05-04T20:22:26.419989,32661.9296875
2022050400154,20220504,154,2022050400154,2.2,2022-05-04T20:22:21.309012,32662.859375
2022050400153,20220504,153,2022050400153,2.0,2022-05-04T20:22:16.464018,29688.5078125
2022050400152,20220504,152,2022050400152,2.0,2022-05-04T20:22:11.646985,29687.75390625
2022050400151,20220504,151,2022050400151,1.8,2022-05-04T20:22:07.006012,26713.005859375
2022050400150,20220504,150,2022050400150,1.8,2022-05-04T20:22:00.209992,26713.67578125
2022050400149,20220504,149,2022050400149,1.6,2022-05-04T20:21:55.716997,23739.966796875
2022050400148,20220504,148,2022050400148,1.6,2022-05-04T20:21:49.171991,23740.021484375
2022050400147,20220504,147,2022050400147,1.4,2022-05-04T20:21:44.933994,20767.84375
2022050400146,20220504,146,2022050400146,1.4,2022-05-04T20:21:38.509003,20767.69921875
2022050400145,20220504,145,2022050400145,1.2,2022-05-04T20:21:34.464004,17797.248046875
2022050400144,20220504,144,2022050400144,1.2,2022-05-04T20:21:28.357016,17798.126953125
2022050400143,20220504,143,2022050400143,1.0,2022-05-04T20:21:24.582987,14827.03515625
2022050400142,20220504,142,2022050400142,1.0,2022-05-04T20:21:18.495996,14826.828125
2022050400141,20220504,141,2022050400141,0.8,2022-05-04T20:21:14.746992,11859.4033203125
2022050400140,20220504,140,2022050400140,0.8,2022-05-04T20:21:08.849981,11859.7587890625
2022050400139,20220504,139,2022050400139,0.6,2022-05-04T20:21:05.397012,8893.919921875
2022050400138,20220504,138,2022050400138,0.6,2022-05-04T20:20:59.856990,8893.7900390625
2022050400137,20220504,137,2022050400137,0.4,2022-05-04T20:20:56.622005,5930.1015625
2022050400136,20220504,136,2022050400136,0.4,2022-05-04T20:20:51.322013,5930.24072265625
2022050400135,20220504,135,2022050400135,0.2,2022-05-04T20:20:48.285981,2969.01123046875
2022050400134,20220504,134,2022050400134,0.2,2022-05-04T20:20:43.183011,2969.318359375
2022050400133,20220504,133,2022050400133,3.0,2022-05-04T20:20:07.746993,44568.0859375
2022050400132,20220504,132,2022050400132,3.0,2022-05-04T20:20:02.190998,44566.015625
2022050400130,20220504,130,2022050400130,3.0,2022-05-04T20:19:51.082992,44567.9609375
2022050400129,20220504,129,2022050400129,3.0,2022-05-04T20:19:45.530014,44569.34765625
2022050400128,20220504,128,2022050400128,3.0,2022-05-04T20:19:39.981020,44568.2265625
2022050400127,20220504,127,2022050400127,3.0,2022-05-04T20:19:34.430014,44568.53515625
2022050400126,20220504,126,2022050400126,3.0,2022-05-04T20:19:28.862996,44570.671875
2022050400125,20220504,125,2022050400125,3.0,2022-05-04T20:19:23.319996,44569.8046875
2022050400124,20220504,124,2022050400124,3.0,2022-05-04T20:19:17.760984,44569.4140625
2022050400123,20220504,123,2022050400123,3.0,2022-05-04T20:17:57.994005,44568.359375
2022050400122,20220504,122,2022050400122,3.0,2022-05-04T20:17:52.439982,44567.34375
2022050400121,20220504,121,2022050400121,3.0,2022-05-04T20:17:46.891994,44569.65625
2022050400120,20220504,120,2022050400120,3.0,2022-05-04T20:17:41.332016,44570.34375
2022050400119,20220504,119,2022050400119,3.0,2022-05-04T20:17:35.780004,44568.63671875
2022050400118,20220504,118,2022050400118,3.0,2022-05-04T20:17:30.221997,44569.0
2022050400117,20220504,117,2022050400117,3.0,2022-05-04T20:17:24.678998,44569.8046875
2022050400116,20220504,116,2022050400116,3.0,2022-05-04T20:17:19.125015,44569.25390625
2022050400115,20220504,115,2022050400115,3.0,2022-05-04T20:17:13.581010,44568.8046875
2022050400114,20220504,114,2022050400114,3.0,2022-05-04T20:17:08.019986,44568.4765625
2022050300176,20220503,176,2022050300176,3.0,2022-05-03T20:23:37.386009,42311.44921875
2022050300175,20220503,175,2022050300175,3.0,2022-05-03T20:23:31.840998,42315.56640625
2022050300174,20220503,174,2022050300174,3.0,2022-05-03T20:23:26.295986,42319.71484375
2022050300173,20220503,173,2022050300173,3.0,2022-05-03T20:23:20.745986,42323.84765625
2022050300172,20220503,172,2022050300172,3.0,2022-05-03T20:23:15.181985,42328.76953125
2022050300171,20220503,171,2022050300171,3.0,2022-05-03T20:23:09.626996,42332.33203125
2022050300170,20220503,170,2022050300170,3.0,2022-05-03T20:23:04.081019,42338.9296875
2022050300169,20220503,169,2022050300169,3.0,2022-05-03T20:22:58.531019,42342.84765625
2022050300168,20220503,168,2022050300168,3.0,2022-05-03T20:22:52.980013,42349.859375
2022050300167,20220503,167,2022050300167,3.0,2022-05-03T20:22:47.429008,42351.5078125
2022050300166,20220503,166,2022050300166,3.0,2022-05-03T20:22:30.531010,42371.5390625
2022050300165,20220503,165,2022050300165,3.0,2022-05-03T20:22:24.978999,42350.91015625
2022050300164,20220503,164,2022050300164,3.0,2022-05-03T20:22:19.431010,42354.99609375
2022050300163,20220503,163,2022050300163,3.0,2022-05-03T20:22:13.868015,42361.82421875
2022050300162,20220503,162,2022050300162,3.0,2022-05-03T20:22:08.316003,42368.0234375
2022050300161,20220503,161,2022050300161,3.0,2022-05-03T20:22:02.775015,42374.37890625
2022050300160,20220503,160,2022050300160,3.0,2022-05-03T20:21:57.213991,42379.91796875
2022050300159,20220503,159,2022050300159,3.0,2022-05-03T20:21:51.663991,42386.73046875
2022050300158,20220503,158,2022050300158,3.0,2022-05-03T20:21:46.112985,42391.3359375
2022050300157,20220503,157,2022050300157,3.0,2022-05-03T20:21:40.562020,42393.86328125
2022050300156,20220503,156,2022050300156,3.0,2022-05-03T20:16:25.777004,5.377627372741699
2022050300155,20220503,155,2022050300155,3.0,2022-05-03T20:14:53.459018,49357.4296875
2022050300154,20220503,154,2022050300154,3.0,2022-05-03T20:14:47.906000,49359.703125
2022050300153,20220503,153,2022050300153,3.0,2022-05-03T20:14:42.352017,49355.640625
2022050300152,20220503,152,2022050300152,3.0,2022-05-03T20:14:36.795982,49358.0859375
2022050300151,20220503,151,2022050300151,3.0,2022-05-03T20:14:31.252982,49356.60546875
2022050300150,20220503,150,2022050300150,3.0,2022-05-03T20:14:25.697993,49363.4453125
2022050300149,20220503,149,2022050300149,3.0,2022-05-03T20:14:20.157005,49360.8984375
2022050300148,20220503,148,2022050300148,3.0,2022-05-03T20:14:14.604994,49357.359375
2022050300147,20220503,147,2022050300147,3.0,2022-05-03T20:14:09.058011,49359.44140625
2022050300146,20220503,146,2022050300146,3.0,2022-05-03T20:14:03.487009,49358.83203125
2022050300145,20220503,145,2022050300145,3.0,2022-05-03T20:13:23.880988,49361.52734375
2022050300144,20220503,144,2022050300144,3.0,2022-05-03T20:13:18.333000,49361.78515625
2022050300143,20220503,143,2022050300143,3.0,2022-05-03T20:13:12.779982,49361.5078125
2022050300142,20220503,142,2022050300142,3.0,2022-05-03T20:13:07.224993,49361.6484375
2022050300141,20220503,141,2022050300141,3.0,2022-05-03T20:13:01.680988,49361.23828125
2022050300140,20220503,140,2022050300140,3.0,2022-05-03T20:12:56.121010,49362.6796875
2022050300139,20220503,139,2022050300139,3.0,2022-05-03T20:12:50.572981,49361.04296875
2022050300138,20220503,138,2022050300138,3.0,2022-05-03T20:12:45.025999,49360.53125
2022050300137,20220503,137,2022050300137,3.0,2022-05-03T20:12:39.475999,49359.73046875
2022050300136,20220503,136,2022050300136,3.0,2022-05-03T20:12:33.929982,49358.94140625
2022050300132,20220503,132,2022050300132,4.0,2022-05-03T19:41:19.668009,57286.01953125
2022050300131,20220503,131,2022050300131,4.0,2022-05-03T19:41:12.824997,57289.7265625
2022050300130,20220503,130,2022050300130,3.8,2022-05-03T19:41:06.103005,54432.2578125
2022050300129,20220503,129,2022050300129,3.8,2022-05-03T19:40:59.545004,54428.421875
2022050300128,20220503,128,2022050300128,3.6,2022-05-03T19:40:53.098007,51571.90234375
2022050300127,20220503,127,2022050300127,3.6,2022-05-03T19:40:46.758994,51573.16015625
2022050300126,20220503,126,2022050300126,3.4,2022-05-03T19:40:40.625010,48709.5625
2022050300125,20220503,125,2022050300125,3.4,2022-05-03T19:40:34.292999,48712.578125
2022050300124,20220503,124,2022050300124,3.2,2022-05-03T19:40:28.316005,45845.828125
2022050300123,20220503,123,2022050300123,3.2,2022-05-03T19:40:22.265987,45851.38671875
2022050300122,20220503,122,2022050300122,3.0,2022-05-03T19:40:16.451012,42977.21484375
2022050300121,20220503,121,2022050300121,3.0,2022-05-03T19:40:10.529982,42980.5546875
2022050300120,20220503,120,2022050300120,2.8,2022-05-03T19:40:04.764010,40111.0625
2022050300119,20220503,119,2022050300119,2.8,2022-05-03T19:39:59.215981,40115.03515625
2022050300118,20220503,118,2022050300118,2.6,2022-05-03T19:39:53.880987,37248.01953125
2022050300117,20220503,117,2022050300117,2.6,2022-05-03T19:39:48.485000,37247.3671875
2022050300116,20220503,116,2022050300116,2.4,2022-05-03T19:39:43.249019,34377.8359375
2022050300115,20220503,115,2022050300115,2.4,2022-05-03T19:39:38.108995,34377.80859375
2022050300114,20220503,114,2022050300114,2.2,2022-05-03T19:39:33.060018,31506.94140625
2022050300113,20220503,113,2022050300113,2.2,2022-05-03T19:39:28.014018,31507.353515625
2022050300112,20220503,112,2022050300112,2.0,2022-05-03T19:39:23.232994,28636.970703125
2022050300111,20220503,111,2022050300111,2.0,2022-05-03T19:39:18.442998,28638.6875
2022050300110,20220503,110,2022050300110,1.8,2022-05-03T19:39:13.677987,25768.052734375
2022050300109,20220503,109,2022050300109,1.8,2022-05-03T19:39:06.808018,25772.72265625
2022050300108,20220503,108,2022050300108,1.6,2022-05-03T19:39:02.430009,22903.03125
2022050300107,20220503,107,2022050300107,1.6,2022-05-03T19:38:55.837005,22904.0390625
2022050300106,20220503,106,2022050300106,1.4,2022-05-03T19:38:51.554992,20037.759765625
2022050300105,20220503,105,2022050300105,1.4,2022-05-03T19:38:45.193007,20038.41796875
2022050300104,20220503,104,2022050300104,1.2,2022-05-03T19:38:41.116988,17171.80859375
2022050300103,20220503,103,2022050300103,1.2,2022-05-03T19:38:34.909981,17171.623046875
2022050300102,20220503,102,2022050300102,1.0,2022-05-03T19:38:31.087994,14306.6884765625
2022050300101,20220503,101,2022050300101,1.0,2022-05-03T19:38:25.116995,14307.8671875
2022050300100,20220503,100,2022050300100,0.8,2022-05-03T19:38:21.582997,11444.69921875
2022050300099,20220503,99,2022050300099,0.8,2022-05-03T19:38:15.813002,11445.6318359375
2022050300098,20220503,98,2022050300098,0.6,2022-05-03T19:38:12.466007,8583.5869140625
2022050300097,20220503,97,2022050300097,0.6,2022-05-03T19:38:06.933991,8583.5126953125
2022050300096,20220503,96,2022050300096,0.4,2022-05-03T19:38:03.618017,5723.56982421875
2022050300095,20220503,95,2022050300095,0.4,2022-05-03T19:37:58.215994,5723.8779296875
2022050300094,20220503,94,2022050300094,0.2,2022-05-03T19:37:55.212993,2865.888916015625
2022050300093,20220503,93,2022050300093,0.2,2022-05-03T19:37:50.068985,2866.1708984375
2022050300092,20220503,92,2022050300092,3.0,2022-05-03T19:37:30.449981,43020.13671875
2022050300091,20220503,91,2022050300091,3.0,2022-05-03T19:37:24.902998,43024.59375
2022050300090,20220503,90,2022050300090,3.0,2022-05-03T19:37:19.358993,43026.14453125
2022050300089,20220503,89,2022050300089,3.0,2022-05-03T19:37:13.798009,43025.94140625
